time,lat,lng,injured,killed
16:17,40.6912281,-73.9821324,1,0
20:15,40.6765981,-73.9303838,1,0
7:00,40.6512655,-74.0039065,1,0
18:14,40.6787376,-73.8988676,1,0
21:50,40.6863458,-73.9233966,1,0
13:00,40.7008903,-73.9422022,1,0
16:15,40.6555930,-73.9471574,1,0
18:30,40.5987306,-73.9573320,1,0
18:40,40.6984634,-73.9601965,1,0
15:44,40.6745992,-73.9388939,1,0
18:00,40.6071800,-73.9223026,1,0
18:25,40.6361331,-73.9727361,1,0
20:00,40.6448523,-73.9600159,1,0
11:47,40.7016369,-73.9422665,1,0
11:45,40.6025344,-73.9932010,1,0
17:41,40.6819753,-73.9354115,1,0
12:50,40.6334755,-74.0299145,1,0
19:00,40.6041622,-73.9975115,1,0
19:32,40.6932110,-73.9125560,1,0
10:47,40.5895661,-73.9397962,1,0
18:15,40.7167266,-73.9589122,1,0
1:25,40.6701928,-73.8896774,1,0
21:45,40.5791996,-73.9819392,1,0
5:57,40.7075935,-73.9555418,1,0
12:45,40.7116424,-73.9439099,1,0
13:30,40.6844232,-73.9783880,1,0
20:00,40.7047879,-73.9618698,1,0
20:08,40.7182268,-73.9432839,1,0
20:34,40.6386746,-73.9718127,1,0
8:25,40.7072243,-73.9520903,1,0
16:15,40.6219935,-73.9459700,1,0
17:25,40.6159950,-73.9971653,1,0
12:30,40.6110846,-73.9983144,1,0
13:30,40.6409040,-74.0003423,1,0
18:30,40.6401687,-73.9571253,1,0
16:20,40.5938073,-73.9406098,1,0
21:00,40.7104315,-73.9487732,1,0
18:00,40.6945469,-73.9272277,1,0
18:00,40.6003214,-73.9859414,1,0
8:32,40.6739992,-73.9822776,1,0
12:35,40.6501456,-74.0050741,1,0
11:00,40.5990542,-73.9980699,1,0
15:55,40.6630766,-73.9207777,1,0
17:10,40.6764116,-73.9804599,1,0
6:45,40.5898720,-73.9369840,1,0
14:15,40.6984634,-73.9601965,1,0
16:50,40.6096740,-73.9652232,1,0
20:40,40.6764116,-73.9804599,1,0
23:00,40.6409749,-74.0110296,1,0
13:36,40.6829099,-73.9930521,1,0
14:00,40.6364509,-74.0157380,1,0
17:26,40.6486441,-73.9557613,1,0
18:24,40.6988063,-73.9183658,1,0
0:25,40.6793366,-73.9440488,1,0
2:45,40.6967850,-73.9565804,1,0
13:47,40.6385981,-73.9919902,1,0
16:10,40.6650854,-73.9286837,1,0
16:17,40.6364648,-73.9117909,1,0
17:13,40.6172030,-73.9170068,1,0
22:50,40.5879404,-73.9743363,1,0
11:34,40.6358360,-73.9534278,1,0
18:00,40.6352397,-73.9676275,1,0
19:20,40.7075241,-73.9611433,1,0
19:26,40.7133192,-73.9492435,1,0
12:00,40.6502972,-73.9661462,1,0
14:30,40.6430064,-74.0053294,1,0
16:50,40.6773132,-73.8991258,1,0
18:45,40.7116424,-73.9439099,1,0
9:30,40.5881722,-73.9524529,1,0
17:20,40.6537770,-73.9561651,1,0
17:30,40.6686690,-73.8683145,1,0
