time,lat,lng,injured,killed
13:55,40.8304158,-73.8966966,1,0
11:55,40.8501811,-73.9105821,1,0
21:40,40.8440653,-73.9209886,1,0
9:15,40.8444894,-73.8462338,1,0
15:11,40.8289463,-73.9050207,1,0
8:10,40.8733829,-73.8893729,1,0
11:20,40.8465178,-73.8953596,1,0
20:00,40.8452223,-73.8661181,1,0
18:05,40.8670381,-73.8963144,1,0
20:30,40.8254560,-73.9131663,1,0
11:49,40.8663420,-73.9005853,1,0
12:43,40.8121260,-73.9041813,1,0
19:00,40.8180464,-73.9224574,1,0
2:40,40.8344170,-73.9285383,1,0
19:00,40.8533332,-73.9196004,1,0
20:30,40.8510798,-73.8486114,1,0
9:35,40.8682829,-73.9010669,1,0
23:15,40.8371400,-73.9204800,1,0
18:23,40.8444894,-73.8462338,1,0
19:05,40.8613166,-73.8655326,1,0
5:45,40.8233367,-73.9057333,1,0
1:31,40.8666142,-73.9011995,1,0
0:30,40.8359271,-73.9029039,1,0
18:50,40.8194793,-73.9268780,1,0
9:13,40.8571822,-73.9097630,1,0
11:30,40.8287288,-73.9147231,1,0
17:45,40.8353892,-73.8878207,1,0
21:20,40.8267983,-73.8223616,1,0
15:15,40.8617006,-73.8913807,1,0
17:55,40.8358843,-73.8833965,1,0
20:45,40.8925150,-73.8454246,1,0
22:25,40.8364762,-73.8851084,1,0
23:15,40.8499314,-73.8858154,1,0
10:15,40.8865285,-73.8997812,1,0
19:47,40.8344209,-73.8629598,1,0
21:35,40.8300784,-73.8537615,1,0
2:20,40.8388747,-73.9026466,1,0
3:30,40.8438234,-73.9165542,1,0
12:15,40.8192406,-73.9045468,1,0
18:00,40.8502737,-73.8276594,2,0
19:05,40.8613524,-73.8977368,1,0
21:00,40.8275118,-73.9249432,1,0
13:50,40.8310849,-73.8690808,1,0
5:15,40.8147815,-73.8846401,1,0
5:30,40.8145933,-73.8858940,1,0
20:40,40.8539417,-73.9146763,1,0
7:15,40.8224573,-73.9269144,1,0
8:45,40.8518715,-73.8537678,1,0
17:15,40.8386842,-73.9229754,1,0
17:45,40.8539068,-73.8986338,1,0
18:37,40.8278679,-73.8235801,1,0
21:50,40.8513185,-73.9084118,1,0
0:35,40.8358843,-73.8833965,1,0
11:45,40.8685644,-73.8965615,1,0
18:20,40.8338819,-73.8765954,1,0
13:28,40.8084322,-73.9233717,1,0
16:00,40.8298685,-73.8954581,1,0
8:18,40.8761664,-73.8815070,1,0
16:00,40.8343235,-73.9199088,1,0
8:30,40.8782876,-73.9080239,1,0
20:15,40.8476674,-73.9010217,1,0
13:00,40.8202970,-73.9041081,1,0
23:15,40.8955975,-73.8561601,1,0
15:17,40.8496222,-73.9193699,1,0
13:37,40.8319276,-73.8510400,1,0
21:35,40.8241884,-73.9138400,1,0
17:34,40.8593085,-73.8988389,1,0
19:11,40.8227143,-73.9031399,1,0
19:30,40.8345970,-73.8610116,1,0
15:25,40.8567445,-73.8952640,1,0
16:47,40.8698714,-73.8828199,1,0
9:55,40.8048401,-73.9127887,1,0
7:53,40.8541998,-73.8544097,1,0
14:20,40.8348193,-73.8680074,1,0
15:45,40.8292900,-73.9164098,1,0
18:04,40.8827095,-73.8812458,1,0
19:30,40.8905534,-73.8341520,1,0
11:22,40.8171812,-73.8454948,1,0
17:56,40.8596070,-73.9077750,1,0
18:00,40.8821546,-73.8781259,1,0
21:00,40.8714939,-73.8886854,1,0
22:40,40.8714085,-73.8652085,1,0
12:50,40.8454964,-73.8834773,1,0
15:11,40.8696589,-73.8989172,1,0
9:02,40.8314212,-73.9264240,1,0
11:45,40.8132333,-73.9090748,1,0
5:20,40.8162743,-73.8928602,1,0
15:11,40.8224240,-73.8858734,1,0
9:30,40.8446724,-73.8856617,1,0
18:03,40.8436584,-73.9200422,1,0
22:50,40.8255299,-73.9059361,1,0
9:42,40.8406665,-73.8815124,1,0
14:15,40.8225330,-73.8850856,1,0
18:10,40.8283030,-73.8829509,1,0
13:55,40.8216784,-73.8549686,1,0
17:28,40.9054676,-73.9007185,1,0
3:45,40.8307375,-73.9104890,1,0
1:19,40.8521400,-73.9206971,1,0
0:15,40.8491057,-73.8949471,1,0
9:18,40.8770345,-73.8877359,1,0
19:08,40.8192475,-73.8624635,1,0
22:00,40.8441075,-73.8861506,1,0
20:35,40.8364798,-73.8977280,1,0
8:30,40.8446724,-73.8856617,1,0
12:29,40.8610241,-73.8309575,1,0
18:21,40.8399027,-73.8756121,1,0
6:08,40.8761664,-73.8815070,1,0
19:38,40.8362561,-73.8532239,1,0
21:24,40.8600413,-73.9086095,1,0
22:00,40.8579828,-73.8617906,1,0
12:29,40.8265297,-73.8748747,1,0
17:04,40.8296993,-73.9131247,1,0
21:07,40.8605215,-73.8925647,1,0
20:07,40.8524882,-73.8872315,1,0
11:15,40.8560936,-73.8861157,1,0
18:31,40.8243306,-73.8743693,1,0
14:18,40.8571285,-73.8807926,1,0
15:15,40.8557280,-73.9104120,1,0
21:00,40.8313358,-73.9216614,1,0
16:20,40.8162619,-73.9141971,1,0
20:45,40.8289768,-73.8764022,1,0
12:53,40.8617318,-73.9118139,1,0
18:20,40.9096277,-73.8965952,1,0
21:00,40.8079057,-73.9200454,1,0
10:00,40.8300517,-73.9224145,1,0
17:40,40.8258010,-73.8897121,1,0
1:10,40.8398821,-73.9167832,1,0
16:05,40.8523395,-73.8639241,1,0
22:40,40.8814416,-73.8639911,1,0
17:50,40.8308198,-73.8700064,1,0
14:45,40.8101939,-73.8863134,1,0
14:28,40.8175925,-73.8205653,1,0
15:50,40.8293053,-73.8706055,2,0
16:00,40.8381061,-73.8350092,1,0
11:45,40.8338557,-73.8246339,1,0
18:00,40.8654303,-73.8673609,1,0
13:45,40.8555543,-73.8875661,1,0
7:30,40.8439815,-73.9229549,1,0
12:06,40.8619443,-73.8937266,1,0
3:35,40.8557873,-73.9055716,1,0
15:40,40.8177952,-73.8931829,1,0
10:30,40.8523522,-73.8585129,1,0
22:40,40.8284328,-73.8810464,1,0
20:25,40.8209858,-73.8916133,1,0
23:00,40.8568071,-73.8609724,1,0
10:10,40.8451394,-73.7857031,1,0
11:40,40.8442372,-73.9236232,1,0
18:30,40.8555543,-73.8875661,1,0
16:30,40.8555476,-73.8920016,1,0
12:22,40.8486394,-73.9116794,1,0
13:00,40.8215981,-73.8978629,1,0
17:35,40.8574211,-73.8999552,1,0
20:07,40.8292339,-73.8755055,1,0
18:00,40.8396059,-73.9181388,1,0
13:42,40.8286398,-73.8534286,1,0
18:50,40.8379725,-73.8700430,1,0
17:55,40.8803979,-73.9076377,1,0
21:15,40.8128559,-73.9072437,1,0
15:00,40.8081625,-73.9265219,1,0
18:45,40.8122647,-73.9205856,1,0
15:43,40.8619443,-73.8937266,1,0
6:45,40.8476674,-73.9010217,1,0
8:58,40.8437670,-73.8655934,1,0
12:25,40.8435185,-73.8329392,1,0
19:30,40.8404267,-73.9223880,1,0
15:00,40.8579828,-73.8617906,1,0
17:25,40.8163185,-73.8962127,1,0
12:35,40.8193650,-73.8930684,1,0
17:00,40.8069405,-73.9137468,1,0
8:13,40.8224361,-73.8551368,1,0
2:30,40.8426172,-73.8781767,1,0
16:15,40.8600618,-73.8911267,1,0
18:36,40.8213594,-73.8891053,1,0
17:00,40.8821685,-73.8635882,1,0
21:50,40.8808185,-73.9084001,1,0
3:40,40.8538162,-73.9084987,1,0
16:57,40.8710108,-73.8282782,1,0
18:35,40.8142905,-73.8997274,1,0
21:15,40.8238159,-73.9077415,1,0
18:30,40.8381279,-73.8873029,1,0
22:45,40.8712851,-73.8584870,2,0
17:47,40.8847113,-73.8313023,1,0
17:50,40.8724137,-73.8399608,1,0
15:00,40.8421910,-73.8941015,1,0
1:20,40.8596525,-73.9031114,1,0
20:25,40.8409653,-73.8287677,1,0
16:40,40.8409524,-73.8793760,1,0
23:30,40.8319738,-73.9234891,1,0
12:30,40.8278116,-73.9259293,1,0
15:00,40.8537971,-73.8308313,1,0
15:08,40.8387805,-73.8526654,1,0
17:37,40.8875953,-73.8571937,1,0
18:00,40.8661535,-73.8615422,1,0
17:10,40.8233848,-73.9183394,1,0
16:12,40.8119414,-73.9255532,1,0
23:40,40.8289463,-73.9050207,1,0
6:00,40.8205049,-73.8880951,1,0
14:45,40.8630423,-73.8580599,1,0
17:00,40.8654483,-73.8663413,1,0
21:30,40.8262017,-73.8216767,1,0
13:00,40.8296875,-73.8252953,1,0
15:15,40.8173878,-73.9227580,1,0
9:30,40.8590024,-73.9035173,1,0
10:00,40.8162619,-73.9141971,1,0
12:50,40.8254564,-73.8495297,1,0
8:50,40.8624442,-73.8971422,1,0
16:15,40.8155241,-73.9186164,1,0
20:15,40.8217152,-73.9064582,1,0
22:30,40.8654900,-73.8644612,1,0
17:05,40.8351000,-73.9194562,1,0
18:00,40.8226981,-73.8700006,1,0
14:20,40.8449018,-73.8900961,1,0
17:00,40.8494010,-73.9030288,1,0
14:34,40.8468268,-73.8970434,1,0
17:11,40.8231754,-73.8278813,1,0
10:35,40.8167903,-73.8870825,1,0
22:15,40.8707826,-73.9068519,1,0
21:15,40.8473191,-73.9114715,1,0
11:00,40.8605215,-73.8925647,1,0
20:30,40.8630903,-73.8894514,1,0
16:56,40.8294278,-73.8696803,1,0
18:30,40.8696954,-73.8672222,1,0
15:59,40.8427100,-73.8856615,1,0
16:20,40.8957180,-73.8495153,1,0
9:30,40.8205623,-73.8998589,1,0
18:10,40.8406016,-73.8412409,1,0
9:55,40.8313611,-73.8681515,1,0
12:45,40.8773340,-73.8853163,1,0
20:40,40.8539091,-73.8836288,1,0
20:00,40.8639625,-73.8945910,1,0
23:00,40.8948734,-73.8565596,1,0
21:09,40.8209858,-73.8916133,1,0
13:50,40.8251160,-73.9254012,1,0
15:00,40.8339903,-73.8609044,1,0
17:00,40.8612181,-73.9043672,1,0
20:40,40.8713431,-73.8479253,1,0
22:44,40.8154258,-73.8984685,1,0
19:00,40.8955243,-73.8503983,1,0
17:40,40.8179808,-73.9189169,1,0
16:40,40.8966893,-73.8451038,1,0
10:13,40.8705431,-73.9058905,1,0
21:15,40.8574211,-73.8999552,1,0
9:26,40.8400595,-73.8709533,1,0
18:45,40.8647531,-73.8888955,1,0
19:35,40.8292114,-73.8942703,1,0
21:46,40.8494529,-73.9059999,1,0
19:10,40.8669992,-73.9020739,1,0
20:55,40.8385217,-73.9261848,1,0
16:18,40.8713439,-73.8869175,1,0
8:30,40.8190580,-73.9292196,1,0
17:15,40.8761724,-73.8490280,1,0
20:15,40.8474693,-73.8913352,1,0
13:40,40.8401443,-73.8342307,1,0
11:05,40.8152219,-73.9221861,1,0
13:38,40.8452885,-73.8486318,1,0
16:16,40.8220118,-73.8582630,1,0
11:18,40.8326953,-73.8636644,1,0
15:20,40.8646754,-73.8968314,1,0
16:22,40.8581993,-73.8709795,1,0
18:20,40.8470280,-73.8980624,1,0
15:00,40.8296993,-73.9131247,1,0
21:00,40.8822103,-73.8465769,1,0
23:00,40.8199479,-73.9103518,1,0
17:08,40.8238497,-73.8988747,1,0
21:01,40.8408575,-73.8654655,1,0
18:00,40.8285818,-73.8791708,1,0
16:17,40.8101939,-73.8863134,1,0
22:39,40.8209858,-73.8916133,1,0
20:15,40.8154700,-73.9053253,1,0
2:00,40.8401300,-73.8802991,1,0
15:00,40.8437796,-73.9094631,1,0
10:40,40.8480028,-73.8924223,1,0
15:17,40.8393477,-73.8436110,1,0
0:30,40.8397833,-73.8370180,1,0
12:00,40.8858784,-73.9002378,1,0
12:20,40.8539443,-73.8586613,1,0
14:40,40.8253855,-73.9261813,1,0
17:10,40.8941685,-73.8569554,1,0
17:45,40.8787795,-73.8529384,1,0
20:15,40.8787795,-73.8529384,1,0
20:40,40.8596434,-73.9053311,1,0
16:35,40.8626161,-73.8901066,1,0
18:10,40.8454106,-73.8911253,1,0
19:50,40.8774757,-73.8366002,1,0
21:15,40.8905464,-73.8408684,1,0
14:05,40.8128241,-73.9238290,1,0
15:12,40.8192235,-73.9106129,1,0
20:20,40.8446802,-73.8797596,1,0
23:00,40.8439096,-73.8804621,1,0
21:50,40.8446813,-73.8611857,2,0
14:35,40.8358971,-73.8558592,1,0
16:14,40.8735928,-73.8850552,1,0
18:39,40.8334301,-73.9070741,1,0
21:20,40.8494529,-73.9059999,1,0
16:20,40.8398100,-73.8464795,1,0
16:28,40.8292900,-73.9164098,1,0
19:19,40.8439802,-73.8695939,1,0
18:20,40.8355729,-73.8622924,1,0
